NAME,DP03_0120PE,state,county
"Blaine County, Nebraska",22.2,31,009
"Deuel County, Nebraska",17.3,31,049
"Logan County, Nebraska",14.3,31,113
"Thayer County, Nebraska",15.2,31,169
"Adams County, Nebraska",13.4,31,001
"Boone County, Nebraska",13.1,31,011
"Rock County, Nebraska",6.4,31,149
"Sherman County, Nebraska",23.1,31,163
"Howard County, Nebraska",11.4,31,093
"Gosper County, Nebraska",7.0,31,073
"Sarpy County, Nebraska",7.9,31,153
"Boyd County, Nebraska",9.8,31,015
"Fillmore County, Nebraska",14.0,31,059
"Hooker County, Nebraska",21.6,31,091
"Seward County, Nebraska",10.2,31,159
"Webster County, Nebraska",14.6,31,181
"Butler County, Nebraska",12.3,31,023
"Arthur County, Nebraska",0.0,31,005
"Gage County, Nebraska",9.7,31,067
"Kearney County, Nebraska",6.6,31,099
"Madison County, Nebraska",17.4,31,119
"Phelps County, Nebraska",6.4,31,137
"Wayne County, Nebraska",6.1,31,179
"Knox County, Nebraska",16.9,31,107
"Merrick County, Nebraska",5.4,31,121
"Pawnee County, Nebraska",17.8,31,133
"Wheeler County, Nebraska",12.2,31,183
"Harlan County, Nebraska",15.0,31,083
"York County, Nebraska",14.5,31,185
"Buffalo County, Nebraska",11.4,31,019
"Colfax County, Nebraska",14.6,31,037
"Hitchcock County, Nebraska",22.7,31,087
"Platte County, Nebraska",11.0,31,141
"Polk County, Nebraska",6.6,31,143
"Box Butte County, Nebraska",20.8,31,013
"Brown County, Nebraska",38.6,31,017
"Sheridan County, Nebraska",22.5,31,161
"Lancaster County, Nebraska",15.8,31,109
"Nuckolls County, Nebraska",15.9,31,129
"Banner County, Nebraska",18.5,31,007
"Richardson County, Nebraska",28.5,31,147
"Holt County, Nebraska",11.8,31,089
"Furnas County, Nebraska",21.1,31,065
"Saline County, Nebraska",13.7,31,151
"Thurston County, Nebraska",34.6,31,173
"Washington County, Nebraska",12.2,31,177
"Cherry County, Nebraska",13.1,31,031
"Dodge County, Nebraska",11.6,31,053
"Garden County, Nebraska",9.8,31,069
"Morrill County, Nebraska",10.6,31,123
"Nemaha County, Nebraska",6.3,31,127
"Thomas County, Nebraska",9.9,31,171
"Dakota County, Nebraska",26.7,31,043
"Antelope County, Nebraska",16.4,31,003
"Chase County, Nebraska",15.0,31,029
"Clay County, Nebraska",10.7,31,035
"Custer County, Nebraska",11.9,31,041
"Franklin County, Nebraska",20.4,31,061
"Hamilton County, Nebraska",16.2,31,081
"Jefferson County, Nebraska",16.5,31,095
"Keith County, Nebraska",16.6,31,101
"Loup County, Nebraska",23.0,31,115
"Perkins County, Nebraska",6.5,31,135
"Saunders County, Nebraska",10.4,31,155
"Scotts Bluff County, Nebraska",16.6,31,157
"Keya Paha County, Nebraska",28.6,31,103
"Kimball County, Nebraska",20.0,31,105
"Lincoln County, Nebraska",17.6,31,111
"Pierce County, Nebraska",7.2,31,139
"Sioux County, Nebraska",9.5,31,165
"Burt County, Nebraska",10.3,31,021
"Cass County, Nebraska",8.1,31,025
"Cuming County, Nebraska",15.7,31,039
"Dixon County, Nebraska",15.5,31,051
"Dundy County, Nebraska",8.0,31,057
"Grant County, Nebraska",13.0,31,075
"Frontier County, Nebraska",15.6,31,063
"Douglas County, Nebraska",16.2,31,055
"Greeley County, Nebraska",10.1,31,077
"Hall County, Nebraska",19.0,31,079
"Hayes County, Nebraska",2.9,31,085
"Otoe County, Nebraska",14.4,31,131
"Red Willow County, Nebraska",15.7,31,145
"Cedar County, Nebraska",10.5,31,027
"Dawes County, Nebraska",17.4,31,045
"Johnson County, Nebraska",15.1,31,097
"Cheyenne County, Nebraska",18.1,31,033
"Dawson County, Nebraska",19.7,31,047
"Garfield County, Nebraska",8.1,31,071
"McPherson County, Nebraska",21.7,31,117
"Nance County, Nebraska",14.4,31,125
"Stanton County, Nebraska",14.4,31,167
"Valley County, Nebraska",13.2,31,175
